lv2,lv4
0,0
0,14
0,15
0,13
0,17
16,16
14,0
15,0
15,16
0,16
0,18
0,12
14,16
0,20
0,21
18,18
0,19
0,22
0,34
0,31
0,25
0,29
0,36
0,35
0,41
0,38
0,44
0,43
0,40
0,55
0,11
7,0
9,0
6,0
8,0
4,0
9,10
0,10
10,0
13,13
12,12
11,11
11,0
12,0
12,13
14,15
13,0
14,14
15,15
0,42
0,9
0,8
9,9
0,7
13,14
17,0
0,1
0,33
10,11
19,0
12,14
12,17
0,26
32,0
16,0
15,17
16,15
21,21
12,9
11,13
0,23
0,37
0,28
0,32
0,27
0,39
0,50
41,0
5,0
14,13
0,24
2,0
36,36
13,10
3,0
13,15
8,15
0,49
17,17
20,20
22,22
30,30
0,46
0,54
0,53
13,11
0,6
0,30
12,15
10,10
15,14
2,2
20,0
33,0
0,45
12,11
9,11
0,51
18,0
24,0
23,0
0,4
6,17
0,5
18,16
